Norad Id,Object Name,Object Type,Launch Date,Origin Country,Apogee,Perigee,Inclination
22,EXPLORER 7,Payload,10/13/1959,US,561,441,50
29,TIROS 1,Payload,4/1/1960,US,651,619,48
45,TRANSIT 2A,Payload,6/22/1960,US,952,593,67
46,SOLRAD 1 (GREB),Payload,6/22/1960,US,847,577,67
47,THOR ABLESTAR R/B,Rocket Body,6/22/1960,US,902,583,67
50,DELTA 1 R/B,Rocket Body,8/12/1960,US,1683,1501,47
51,ECHO 1 DEB (METAL OBJ),Fragment,8/12/1960,US,1686,1513,47
53,ECHO 1 DEB (METAL OBJ),Fragment,8/12/1960,US,1683,1525,47
58,COURIER 1B,Payload,10/4/1960,US,1208,962,28
59,THOR ABLESTAR R/B,Rocket Body,10/4/1960,US,1201,920,28
82,SCOUT X-1 R/B,Rocket Body,2/16/1961,US,2486,632,39
107,EXPLORER 11,Payload,4/27/1961,US,1185,463,29
115,THOR ABLE DEB (YO),Fragment,4/1/1960,US,598,561,48
116,TRANSIT 4A,Payload,6/29/1961,US,971,871,67
117,SOLRAD 3/INJUN 1,Payload,6/29/1961,US,981,876,67
118,THOR ABLESTAR R/B,Rocket Body,6/29/1961,US,939,830,67
119,THOR ABLESTAR DEB,Fragment,6/29/1961,US,869,736,67
120,THOR ABLESTAR DEB,Fragment,6/29/1961,US,877,713,67
121,THOR ABLESTAR DEB,Fragment,6/29/1961,US,962,825,67
122,THOR ABLESTAR DEB,Fragment,6/29/1961,US,609,559,67
123,THOR ABLESTAR DEB,Fragment,6/29/1961,US,827,682,67
124,THOR ABLESTAR DEB,Fragment,6/29/1961,US,829,720,67
125,THOR ABLESTAR DEB,Fragment,6/29/1961,US,926,810,67
126,THOR ABLESTAR DEB,Fragment,6/29/1961,US,783,709,67
127,THOR ABLESTAR DEB,Fragment,6/29/1961,US,784,685,67
128,THOR ABLESTAR DEB,Fragment,6/29/1961,US,952,822,67
130,THOR ABLESTAR DEB,Fragment,6/29/1961,US,954,839,67
131,THOR ABLESTAR DEB,Fragment,6/29/1961,US,951,825,67
132,THOR ABLESTAR DEB,Fragment,6/29/1961,US,966,858,67
133,THOR ABLESTAR DEB,Fragment,6/29/1961,US,854,780,67
134,THOR ABLESTAR DEB,Fragment,6/29/1961,US,960,844,67
136,THOR ABLESTAR DEB,Fragment,6/29/1961,US,793,718,68
138,THOR ABLESTAR DEB,Fragment,6/29/1961,US,903,854,67
141,THOR ABLESTAR DEB,Fragment,6/29/1961,US,977,889,67
144,THOR ABLESTAR DEB,Fragment,6/29/1961,US,954,893,66
145,THOR ABLESTAR DEB,Fragment,6/29/1961,US,925,841,67
147,THOR ABLESTAR DEB,Fragment,6/29/1961,US,856,770,67
148,THOR ABLESTAR DEB,Fragment,6/29/1961,US,954,763,66
150,THOR ABLESTAR DEB,Fragment,6/29/1961,US,990,913,66
152,THOR ABLESTAR DEB,Fragment,6/29/1961,US,962,748,67
154,THOR ABLESTAR DEB,Fragment,6/29/1961,US,935,811,67
155,THOR ABLESTAR DEB,Fragment,6/29/1961,US,746,702,67
158,THOR ABLESTAR DEB,Fragment,6/29/1961,US,1867,929,67
159,THOR ABLESTAR DEB,Fragment,6/29/1961,US,1538,964,66
162,TIROS 3,Payload,7/12/1961,US,773,710,48
167,DELTA 1 DEB (YO),Fragment,7/12/1961,US,877,747,48
172,THOR ABLESTAR DEB,Fragment,6/29/1961,US,1142,936,67
177,THOR ABLESTAR DEB,Fragment,6/29/1961,US,926,760,67
178,THOR ABLESTAR DEB,Fragment,6/29/1961,US,977,860,67
202,TRANSIT 4B,Payload,11/15/1961,US,1097,947,32
204,THOR ABLESTAR R/B,Rocket Body,11/15/1961,US,1090,945,32
205,TRAAC,Payload,11/15/1961,US,1102,951,32
210,THOR ABLESTAR DEB,Fragment,6/29/1961,US,962,904,66
223,THOR ABLESTAR DEB,Fragment,6/29/1961,US,980,885,67
224,THOR ABLESTAR DEB,Fragment,6/29/1961,US,904,804,67
225,THOR ABLESTAR DEB,Fragment,6/29/1961,US,834,699,67
226,TIROS 4,Payload,2/8/1962,US,790,681,48
227,DELTA 1 DEB (YO),Fragment,2/8/1962,US,848,666,48
228,DELTA 1 DEB (YO),Fragment,2/8/1962,US,467,455,48
230,THOR ABLESTAR DEB,Fragment,6/29/1961,US,973,837,67
232,THOR ABLESTAR DEB,Fragment,6/29/1961,US,938,845,67
233,THOR ABLESTAR DEB,Fragment,6/29/1961,US,331,299,67
234,THOR ABLESTAR DEB,Fragment,6/29/1961,US,934,826,67
235,THOR ABLESTAR DEB,Fragment,6/29/1961,US,972,739,67
243,THOR ABLESTAR DEB,Fragment,6/29/1961,US,916,863,66
244,THOR ABLESTAR DEB,Fragment,6/29/1961,US,965,854,67
245,THOR ABLESTAR DEB,Fragment,6/29/1961,US,870,797,66
246,THOR ABLESTAR DEB,Fragment,6/29/1961,US,994,891,67
252,THOR ABLESTAR DEB,Fragment,6/29/1961,US,1009,936,67
253,THOR ABLESTAR DEB,Fragment,6/29/1961,US,535,507,67
254,THOR ABLESTAR DEB,Fragment,6/29/1961,US,771,672,67
260,THOR ABLESTAR DEB,Fragment,6/29/1961,US,784,714,67
261,THOR ABLESTAR DEB,Fragment,6/29/1961,US,953,829,67
262,THOR ABLESTAR DEB,Fragment,6/29/1961,US,751,652,66
263,THOR ABLESTAR DEB,Fragment,6/29/1961,US,802,673,67
264,THOR ABLESTAR DEB,Fragment,6/29/1961,US,788,746,67
268,THOR ABLESTAR DEB,Fragment,6/29/1961,US,1967,949,68
299,THOR ABLESTAR DEB,Fragment,6/29/1961,US,1143,864,67
309,TIROS 5,Payload,6/19/1962,US,819,567,58
312,DELTA 1 DEB (YO),Fragment,6/19/1962,US,824,557,58
320,THOR ABLESTAR DEB,Fragment,6/29/1961,US,894,694,67
323,THOR ABLESTAR DEB,Fragment,6/29/1961,US,899,779,67
324,THOR ABLESTAR DEB,Fragment,6/29/1961,US,902,797,67
325,THOR ABLESTAR DEB,Fragment,6/29/1961,US,862,772,67
327,THOR ABLESTAR DEB,Fragment,6/29/1961,US,1013,839,67
329,THOR ABLESTAR DEB,Fragment,6/29/1961,US,1098,929,67
330,THOR ABLESTAR DEB,Fragment,6/29/1961,US,911,833,67
333,THOR ABLESTAR DEB,Fragment,6/29/1961,US,652,606,67
334,THOR ABLESTAR DEB,Fragment,6/29/1961,US,985,860,67
335,THOR ABLESTAR DEB,Fragment,6/29/1961,US,844,792,67
336,THOR ABLESTAR DEB,Fragment,6/29/1961,US,1063,943,67
337,THOR ABLESTAR DEB,Fragment,6/29/1961,US,1048,907,67
