episode_id,timestamp,primary_id,secondary_id,primary_a,primary_e,primary_i,primary_raan,primary_argp,primary_mass,primary_area,primary_cd,primary_cr,tca,miss_distance,relative_velocity,r_rel_R,r_rel_T,r_rel_N,v_rel_R,v_rel_T,v_rel_N,pos_uncertainty,vel_uncertainty,combined_covariance_trace,probability_of_collision,time_to_tca,f107,ap,atmospheric_density,local_object_density,orbital_regime,decision_fixed_miss,decision_pc_threshold,decision_fuel_min,optimal_dv_R,optimal_dv_T,optimal_dv_N,optimal_dv_magnitude,optimal_fuel_cost,optimal_maneuver_type,post_maneuver_miss,post_maneuver_pc,risk_reduction,maneuver_required,maneuver_feasible
0,2026-01-31T23:03:21.399193,0,999999,40454.657360873156,0.01568626218019967,8.979877262955576,56.15802732103295,20.910100380551157,737.2653200164409,1.3911053916202465,2.2,1.3,2025-07-15T00:00:00,9.706621058579445,0.0009693802281744109,-5.2572301800129644e-17,9.706621058579445,-3.72782520182569e-16,-0.0007203917610134678,-0.0002604974379638051,-0.0005940326777658627,0.17320508075688776,0.0017320508075688774,0.06000000000000001,0.0,47049.83253914929,147.75010335558085,14.561457009902096,1.4642275683729345e-93,1,MEO,No-Maneuver,No-Maneuver,No-Maneuver,0.0,0.0,0.0,0.0,0.0,No-Maneuver,9.706621058579445,0.0,0.0,False,True
1,2026-01-31T23:03:21.400995,1000,999999,7174.645902509874,0.045661391423281676,36.63618432936917,282.6633461014849,71.88256157700941,141.80537144799794,12.54335218612733,2.2,1.3,2025-07-15T00:00:00,1.9126102059510923,0.00249291610647596,-1.8956147746659174e-17,-3.797677431573864e-17,1.9126102059510923,2.423610833893744e-06,0.001822034022514416,0.0017014161339418766,0.17320508075688776,0.0017320508075688774,0.06000000000000001,3.406495009897143e-24,4922.005683833735,111.56088861198683,12.051273301300586,1.5331821275162996e-15,1,LEO,No-Maneuver,No-Maneuver,No-Maneuver,0.0,0.0,0.0,0.0,0.0,No-Maneuver,1.9126102059510923,3.406495009897143e-24,0.0,False,True
2,2026-01-31T23:03:21.402735,2000,999999,8094.431349951478,0.03916695469656686,17.336465350777225,65.60499160370244,271.9301077143548,610.9302950379923,1.594952556655613,2.2,1.3,2025-07-15T00:00:00,8.462276552301235,0.0011576722461619274,1.1472463598339393e-16,8.462276552301233,-1.2861930199607095e-16,-0.0008006166713685877,-0.0005193964271260573,-0.0006553207814108837,0.17320508075688776,0.0017320508075688774,0.06000000000000001,0.0,50832.76108076707,163.75016680464825,48.058601217467455,1.2304265915724407e-17,1,LEO,No-Maneuver,No-Maneuver,No-Maneuver,0.0,0.0,0.0,0.0,0.0,No-Maneuver,8.462276552301235,0.0,0.0,False,True
3,2026-01-31T23:03:21.404358,3000,999999,23169.881964519907,0.09652900519568727,38.138825768150134,218.53232916720646,99.35970552811584,114.07276606707454,9.044628133421023,2.2,1.3,2025-07-15T00:00:00,4.100094802211805,0.001593673552885919,5.757740902876014e-17,-2.9271596514951023e-16,4.100094802211806,0.00082261321809327,-0.0012611291318728815,0.0005221649158338911,0.17320508075688776,0.0017320508075688774,0.06000000000000001,6.644473384141426e-166,63961.793513793746,208.82866240347025,3.7022325867045183,3.550112599433797e-54,1,MEO,No-Maneuver,No-Maneuver,No-Maneuver,0.0,0.0,0.0,0.0,0.0,No-Maneuver,4.100094802211805,6.644473384141426e-166,0.0,False,True
4,2026-01-31T23:03:21.406032,4000,999999,8145.275823988508,0.033156712682779574,62.329812682755794,22.88100610296851,111.9536358176385,673.8017242196918,17.857042108950203,2.2,1.3,2025-07-15T00:00:00,4.854095520329006,0.001365638211303034,4.8540955203290075,-3.535532090977711e-16,2.337697153264487e-16,0.0003947434945496535,-0.0003927513487989866,-0.0012469529564896405,0.17320508075688776,0.0017320508075688774,0.06000000000000001,1.994225031546647e-237,39977.062354485766,106.30945642037132,44.78817978367597,2.302562575772797e-17,1,LEO,No-Maneuver,No-Maneuver,No-Maneuver,0.0,0.0,0.0,0.0,0.0,No-Maneuver,4.854095520329006,1.994225031546647e-237,0.0,False,True
5,2026-01-31T23:03:21.407690,5000,999999,7860.3773469244215,0.06048129618985428,13.933145440587559,194.34279286860232,73.10204090451677,725.3064397357341,17.728888941289895,2.2,1.3,2025-07-15T00:00:00,6.337451969304484,0.001028034875931186,1.369589736775647e-16,6.337451969304484,-2.2237048573117473e-16,-0.0008909761099643113,9.137806299926024e-06,0.0005127706876370153,0.17320508075688776,0.0017320508075688774,0.06000000000000001,0.0,70144.04796724668,103.58261059948646,44.627949924498886,2.5050145955647096e-15,1,LEO,No-Maneuver,No-Maneuver,No-Maneuver,0.0,0.0,0.0,0.0,0.0,No-Maneuver,6.337451969304484,0.0,0.0,False,True
6,2026-01-31T23:03:21.409370,6000,999999,32938.070348303096,0.011094187260314733,20.67022587317115,82.056658515099,153.7588039054533,106.25691747807163,10.704198748973749,2.2,1.3,2025-07-15T00:00:00,4.319757280700595,0.0015755788670301237,4.319757280700595,-5.465270985931133e-17,1.7528511683009195e-16,0.0009217358595751835,-0.000726707312215691,-0.001051070051793586,0.17320508075688776,0.0017320508075688774,0.06000000000000001,3.061502987497415e-136,21713.677380650217,170.45836036312141,20.191808552902042,3.4608464241958926e-76,1,MEO,No-Maneuver,No-Maneuver,No-Maneuver,0.0,0.0,0.0,0.0,0.0,No-Maneuver,4.319757280700595,3.061502987497415e-136,0.0,False,True
7,2026-01-31T23:03:21.429147,7000,999999,7097.689306825621,0.07125583193345172,69.63042728397883,53.311294783223964,359.18657461762,469.93331198640817,1.6279639251104192,2.2,1.3,2025-07-15T00:00:00,0.20528206161200735,0.0008785949063681684,0.20528206161200738,-4.2981153703406164e-19,-2.2374300197433152e-17,-0.0002997467116033693,0.0007984592648123813,-0.00021105383392473284,0.17320508075688776,0.0017320508075688774,0.06000000000000001,0.0022111551867574014,44126.68855098222,247.41708173990813,12.10276357557502,3.0623905262515924e-14,1,LEO,No-Solution,Combined,Tangential,0.0,0.07243866989696322,0.0,0.07243866989696322,0.015778148957026283,Tangential,5.0,6.231277917953753e-94,1.0,True,True
8,2026-01-31T23:03:21.431080,8000,999999,14891.169805743688,0.03684153495865349,47.334062659770865,227.6300990136886,228.07069587392223,851.7722460303141,7.094821234462981,2.2,1.3,2025-07-15T00:00:00,2.0685554763985787,0.0011935057417169596,2.0685554763985787,-9.79021748042012e-17,4.4832688271598647e-17,-0.0002343918567051214,0.00027346350808369767,0.0011378638419284766,0.17320508075688776,0.0017320508075688774,0.06000000000000001,1.2103756236260691e-47,70626.68662036843,132.7598777125113,4.808827554571038,1.5050976585721045e-34,1,MEO,No-Maneuver,No-Maneuver,No-Maneuver,0.0,0.0,0.0,0.0,0.0,No-Maneuver,2.0685554763985787,1.2103756236260691e-47,0.0,False,True
9,2026-01-31T23:03:21.432778,9000,999999,7558.177295896714,0.06760144269222425,83.7710105907328,264.67780292667794,75.26578346557696,305.6950196175697,4.324143614822788,2.2,1.3,2025-07-15T00:00:00,9.826141347461997,0.0010261452037610014,9.826141347461999,-1.1672070500968149e-17,1.06312932702147e-17,0.0003055187003104571,0.00041035181731036174,0.0008895187963120285,0.17320508075688776,0.0017320508075688774,0.06000000000000001,0.0,77889.46475853545,232.0752502893995,31.655072863663396,7.405834609019107e-17,1,LEO,No-Maneuver,No-Maneuver,No-Maneuver,0.0,0.0,0.0,0.0,0.0,No-Maneuver,9.826141347461997,0.0,0.0,False,True
